part_id,category,unit_price,stock_quantity,min_stock_level,max_stock_level,monthly_usage,reserved_quantity,lead_time_days
PART_001,Suspension,4583.3,10,21,50,36,12,10
PART_002,Transmission,4265.19,91,18,107,25,3,10
PART_003,Electrical,2302.31,56,25,50,21,3,19
PART_004,Transmission,567.51,88,7,83,36,5,17
PART_005,Transmission,1917.01,49,5,145,10,18,21
PART_006,Brake,3377.32,22,24,97,37,11,14
PART_007,Electrical,3363.02,30,25,138,9,6,9
PART_008,Electrical,2997.36,93,27,50,24,9,14
PART_009,Electrical,1446.14,41,5,65,35,18,1
PART_010,Transmission,2850.09,98,7,110,49,6,19
PART_011,Suspension,1976.34,6,22,113,35,2,13
PART_012,Electrical,4861.39,15,29,112,48,12,13
PART_013,Transmission,4259.68,89,14,118,36,12,4
PART_014,Brake,3636.47,59,26,71,18,17,1
PART_015,Suspension,1256.33,1,7,142,49,19,17
PART_016,Brake,1354.73,0,12,116,39,7,8
PART_017,Suspension,298.12,47,18,125,32,8,2
PART_018,Transmission,3582.25,11,28,75,24,6,28
PART_019,Engine,643.37,68,22,65,23,0,8
PART_020,Suspension,2252.75,36,19,100,32,2,7
PART_021,Brake,1088.42,31,26,135,37,12,26
PART_022,Transmission,4489.24,8,27,106,12,16,26
PART_023,Suspension,2429.31,98,6,78,49,0,2
PART_024,Engine,2860.05,18,14,127,13,5,22
PART_025,Engine,3508.03,47,6,141,23,5,22
PART_026,Electrical,782.72,79,21,118,25,11,3
PART_027,Electrical,3061.65,2,12,96,35,12,27
PART_028,Brake,2745.22,19,5,143,41,12,18
PART_029,Suspension,1095.0,23,13,111,30,14,12
PART_030,Suspension,4719.98,53,15,118,17,15,1
PART_031,Electrical,3034.44,32,26,125,49,10,22
PART_032,Suspension,3504.45,23,20,65,20,4,12
PART_033,Suspension,4414.29,74,11,139,48,3,5
PART_034,Engine,3159.33,71,14,139,25,2,27
PART_035,Electrical,1548.61,35,27,97,22,18,25
PART_036,Transmission,616.92,37,7,134,13,19,17
PART_037,Electrical,2337.02,83,22,88,19,17,16
PART_038,Transmission,1170.36,98,29,149,49,14,15
PART_039,Engine,2140.9,88,28,82,36,8,23
PART_040,Brake,4428.07,98,17,143,12,16,15
PART_041,Suspension,1689.29,24,11,72,41,13,5
PART_042,Engine,698.23,92,29,59,19,14,21
PART_043,Suspension,1845.86,17,8,118,12,0,14
PART_044,Brake,4543.46,81,17,149,9,2,2
PART_045,Brake,1433.45,65,24,83,7,15,11
PART_046,Engine,3273.68,53,5,101,28,10,19
PART_047,Brake,102.55,34,12,144,14,11,7
PART_048,Transmission,1827.59,79,18,59,31,9,6
PART_049,Brake,1593.43,60,20,68,19,15,28
PART_050,Suspension,906.81,40,18,107,47,7,2
PART_051,Suspension,2717.04,99,16,145,16,5,6
PART_052,Suspension,2475.67,32,23,50,5,11,18
PART_053,Suspension,3492.94,67,27,118,35,7,2
PART_054,Transmission,1420.12,32,19,53,12,3,18
PART_055,Electrical,1296.22,13,6,65,25,7,15
PART_056,Engine,924.63,20,6,73,21,17,27
PART_057,Suspension,1171.94,47,27,129,36,4,19
PART_058,Brake,2834.7,19,26,51,23,8,2
PART_059,Suspension,2078.8,7,23,141,16,3,20
PART_060,Brake,417.97,6,29,81,39,16,25
PART_061,Brake,1344.19,66,26,140,45,8,6
PART_062,Suspension,1309.69,16,26,133,42,0,1
PART_063,Transmission,3511.89,32,21,73,39,19,24
PART_064,Brake,3590.13,47,24,61,14,12,15
PART_065,Brake,825.63,75,14,99,31,15,28
PART_066,Suspension,4988.93,58,10,84,5,12,23
PART_067,Brake,1407.23,85,19,82,35,13,10
PART_068,Brake,4885.41,21,26,82,23,2,19
PART_069,Suspension,2114.08,29,15,110,29,5,17
PART_070,Suspension,261.95,37,9,100,43,17,5
PART_071,Engine,1790.85,50,5,92,11,18,29
PART_072,Transmission,3208.32,53,12,61,18,4,4
PART_073,Transmission,3435.46,7,25,116,47,14,10
PART_074,Brake,2701.58,26,16,114,12,1,24
PART_075,Transmission,2294.14,26,16,82,9,9,17
PART_076,Brake,2809.18,97,9,89,10,17,10
PART_077,Engine,3004.21,20,11,123,44,12,17
PART_078,Suspension,496.18,29,8,92,17,4,28
PART_079,Suspension,1911.31,96,10,93,38,0,20
PART_080,Suspension,1286.58,27,17,78,7,0,24
PART_081,Transmission,4035.38,63,24,62,46,17,5
PART_082,Engine,2404.47,96,19,61,13,14,2
PART_083,Transmission,4918.77,68,7,144,40,16,6
PART_084,Transmission,2054.24,60,27,95,42,10,21
PART_085,Engine,4100.52,47,12,51,9,16,2
PART_086,Engine,4011.89,18,24,84,27,12,13
PART_087,Engine,838.52,3,20,136,2,0,11
PART_088,Engine,2590.17,34,17,130,5,1,11
PART_089,Suspension,3509.48,63,22,139,29,8,16
PART_090,Electrical,4305.96,48,14,57,37,2,11
PART_091,Electrical,1697.2,16,23,142,38,0,19
PART_092,Engine,1179.18,43,21,75,19,15,15
PART_093,Electrical,3584.63,91,28,123,8,5,25
PART_094,Electrical,4066.56,29,23,139,48,16,23
PART_095,Engine,1808.46,92,27,83,45,4,23
PART_096,Electrical,571.27,45,9,56,1,4,16
PART_097,Transmission,4708.56,5,25,117,22,5,11
PART_098,Brake,2048.1,98,27,107,17,2,22
PART_099,Brake,2636.98,36,13,124,7,4,16
PART_100,Engine,4204.78,23,16,78,25,4,8
