part_id,week,weekly_consumption
P-2000,0,15.4
P-2000,1,20.0
P-2000,2,20.0
P-2000,3,18.3
P-2000,4,16.9
P-2000,5,13.6
P-2000,6,18.5
P-2000,7,12.4
P-2000,8,15.9
P-2000,9,14.7
P-2000,10,17.5
P-2000,11,15.9
P-2000,12,17.0
P-2000,13,21.0
P-2000,14,20.9
P-2000,15,21.2
P-2000,16,21.4
P-2000,17,15.4
P-2000,18,20.2
P-2000,19,18.7
P-2000,20,13.7
P-2000,21,15.4
P-2000,22,16.3
P-2000,23,17.0
P-2000,24,19.4
P-2000,25,23.5
P-2001,0,11.0
P-2001,1,10.4
P-2001,2,11.3
P-2001,3,12.8
P-2001,4,11.3
P-2001,5,10.2
P-2001,6,11.7
P-2001,7,11.5
P-2001,8,11.3
P-2001,9,8.1
P-2001,10,7.1
P-2001,11,8.5
P-2001,12,10.6
P-2001,13,10.2
P-2001,14,10.0
P-2001,15,11.2
P-2001,16,8.3
P-2001,17,10.3
P-2001,18,11.4
P-2001,19,10.3
P-2001,20,10.2
P-2001,21,11.4
P-2001,22,9.3
P-2001,23,8.8
P-2001,24,11.7
P-2001,25,12.0
P-2002,0,13.7
P-2002,1,10.9
P-2002,2,12.8
P-2002,3,13.4
P-2002,4,10.1
P-2002,5,10.4
P-2002,6,13.0
P-2002,7,13.5
P-2002,8,11.6
P-2002,9,9.3
P-2002,10,14.0
P-2002,11,10.3
P-2002,12,10.9
P-2002,13,12.3
P-2002,14,14.5
P-2002,15,13.5
P-2002,16,12.8
P-2002,17,12.8
P-2002,18,12.0
P-2002,19,12.6
P-2002,20,7.6
P-2002,21,11.1
P-2002,22,12.1
P-2002,23,10.2
P-2002,24,12.9
P-2002,25,12.3
P-2003,0,13.5
P-2003,1,15.6
P-2003,2,18.5
P-2003,3,17.2
P-2003,4,17.2
P-2003,5,17.9
P-2003,6,16.6
P-2003,7,14.3
P-2003,8,14.3
P-2003,9,15.1
P-2003,10,12.7
P-2003,11,17.5
P-2003,12,16.4
P-2003,13,16.5
P-2003,14,19.5
P-2003,15,16.6
P-2003,16,16.3
P-2003,17,15.3
P-2003,18,16.7
P-2003,19,16.1
P-2003,20,13.5
P-2003,21,14.5
P-2003,22,13.6
P-2003,23,13.9
P-2003,24,12.1
P-2003,25,16.1
P-2004,0,4.3
P-2004,1,4.8
P-2004,2,5.2
P-2004,3,4.3
P-2004,4,3.8
P-2004,5,3.7
P-2004,6,3.8
P-2004,7,3.7
P-2004,8,3.2
P-2004,9,2.8
P-2004,10,3.4
P-2004,11,3.9
P-2004,12,4.4
P-2004,13,3.8
P-2004,14,4.0
P-2004,15,3.7
P-2004,16,4.2
P-2004,17,3.5
P-2004,18,4.2
P-2004,19,2.4
P-2004,20,3.1
P-2004,21,3.5
P-2004,22,3.4
P-2004,23,5.2
P-2004,24,3.9
P-2004,25,3.2
P-2005,0,5.9
P-2005,1,7.9
P-2005,2,7.1
P-2005,3,5.7
P-2005,4,9.2
P-2005,5,10.5
