student_id,attendance_rate,unsigned_assessments,missing_competencies,actual_time_on_task,expected_time_on_task,actually_incomplete
S-1000,87.9,2,0,30.5,33.5,0
S-1001,100.0,0,2,47.2,40.9,0
S-1002,82.8,1,1,25.3,47.5,0
S-1003,100.0,0,1,31.3,32.8,0
S-1004,66.0,0,1,38.0,37.3,0
S-1005,94.5,1,1,64.2,88.2,0
S-1006,92.8,0,0,32.7,32.7,0
S-1007,48.4,1,0,37.4,62.6,1
S-1008,89.6,2,0,41.6,37.0,0
S-1009,47.8,0,0,47.5,49.5,0
S-1010,94.7,1,2,78.8,76.3,0
S-1011,25.6,0,0,25.3,31.9,0
S-1012,79.8,1,0,37.8,75.3,0
S-1013,73.8,0,3,61.3,78.2,1
S-1014,79.9,2,0,47.8,43.7,0
S-1015,83.9,0,1,42.1,43.3,0
S-1016,87.1,1,1,79.7,88.3,0
S-1017,77.6,0,0,17.8,32.2,0
S-1018,64.8,0,1,31.9,38.7,0
S-1019,100.0,0,1,78.2,67.9,0
S-1020,60.4,1,0,26.5,32.4,0
S-1021,47.0,1,1,64.5,86.2,1
S-1022,62.3,2,2,46.2,61.8,1
S-1023,83.2,1,4,37.6,35.0,1
S-1024,82.5,0,0,75.5,69.8,1
S-1025,81.5,2,1,32.9,49.5,0
S-1026,97.3,2,0,49.1,45.9,0
S-1027,76.5,3,1,39.7,41.7,0
S-1028,56.6,4,1,77.4,88.0,0
S-1029,69.0,2,0,63.4,63.4,0
S-1030,90.6,0,2,79.8,61.1,0
S-1031,95.4,1,0,93.5,78.6,0
S-1032,88.3,3,1,73.5,52.5,1
S-1033,68.3,1,0,56.1,65.4,1
S-1034,60.1,2,1,24.3,33.1,1
S-1035,100.0,3,1,63.5,56.3,1
S-1036,88.1,1,0,50.1,45.0,0
S-1037,96.9,0,2,82.6,66.7,0
S-1038,63.4,1,0,18.4,32.8,1
S-1039,86.9,1,1,44.0,40.4,0
S-1040,100.0,1,0,48.2,67.6,0
S-1041,86.1,0,0,76.3,68.5,1
S-1042,90.9,1,1,61.5,62.7,0
S-1043,86.8,1,0,32.9,36.0,1
S-1044,83.6,0,0,64.0,80.7,1
S-1045,66.2,0,1,82.7,82.6,0
S-1046,65.4,0,3,52.4,52.3,0
S-1047,88.9,2,1,76.1,84.2,0
S-1048,67.5,2,1,50.5,49.2,0
S-1049,79.9,1,0,50.7,49.7,0
S-1050,93.4,1,1,69.3,63.0,0
S-1051,71.8,0,0,77.2,75.7,0
S-1052,69.3,2,0,79.2,89.2,0
S-1053,100.0,3,0,69.3,76.6,0
S-1054,95.2,0,1,54.9,58.1,1
S-1055,100.0,2,0,94.8,82.1,0
S-1056,79.4,1,2,74.1,67.8,0
S-1057,100.0,2,0,73.7,87.0,0
S-1058,100.0,0,0,48.5,57.8,0
S-1059,62.8,4,2,71.5,84.7,1
S-1060,51.6,2,0,59.1,52.6,0
S-1061,43.7,4,0,33.0,33.4,0
S-1062,78.1,3,1,78.5,87.2,0
S-1063,92.2,1,0,51.8,70.3,0
S-1064,80.3,2,1,46.1,38.0,1
S-1065,90.9,1,0,37.9,30.9,0
S-1066,43.4,2,1,54.1,53.8,1
S-1067,43.9,2,0,48.2,68.0,1
S-1068,85.3,0,0,61.9,83.8,0
S-1069,58.3,0,0,35.8,40.1,0
S-1070,75.9,0,0,40.5,60.2,0
S-1071,64.0,2,0,67.6,78.4,0
S-1072,67.4,1,1,41.7,57.8,0
S-1073,89.5,1,0,57.4,56.8,0
S-1074,61.8,1,0,26.8,42.7,0
S-1075,100.0,2,1,87.9,74.7,0
S-1076,70.2,1,1,64.0,89.2,0
S-1077,70.8,0,0,32.0,39.6,0
S-1078,61.4,1,1,62.1,88.9,1
S-1079,85.8,2,0,64.0,70.1,0
S-1080,100.0,0,1,65.4,49.4,0
S-1081,45.4,0,1,47.8,64.9,1
S-1082,100.0,0,0,25.8,38.1,0
S-1083,66.0,3,0,50.0,50.9,0
S-1084,85.4,1,0,60.0,74.5,0
S-1085,75.6,1,0,35.9,39.9,0
S-1086,83.8,2,1,70.2,52.6,0
S-1087,99.0,1,1,51.7,62.6,0
S-1088,60.3,2,0,66.7,77.6,0
S-1089,97.3,1,0,45.0,44.9,0
S-1090,79.4,2,1,64.8,80.8,1
S-1091,100.0,0,0,66.8,73.3,0
S-1092,100.0,1,0,49.1,40.9,0
S-1093,42.4,2,1,67.4,66.7,1
S-1094,100.0,2,1,62.0,55.4,0
S-1095,58.2,2,2,50.1,65.5,1
S-1096,74.8,1,0,42.5,53.9,0
S-1097,73.4,1,1,56.7,57.1,1
S-1098,77.9,2,1,19.3,30.8,0
S-1099,72.6,0,2,21.8,34.0,0
S-1100,82.0,0,0,28.4,32.2,0
S-1101,63.7,2,0,45.4,54.0,0
S-1102,71.1,3,1,24.6,31.5,1
S-1103,96.7,0,0,54.3,43.9,0
S-1104,67.5,1,0,41.7,44.6,0
S-1105,82.7,1,0,45.9,47.6,0
S-1106,84.5,3,0,35.5,52.8,0
S-1107,93.1,1,0,32.6,47.7,0
S-1108,67.1,4,0,42.2,46.1,1
S-1109,51.0,0,2,36.4,40.3,1
S-1110,81.9,0,1,57.0,79.8,0
S-1111,100.0,1,1,69.6,53.0,0
S-1112,71.0,1,0,42.3,47.3,0
S-1113,58.5,1,3,32.0,31.9,1
S-1114,66.5,1,0,65.3,76.3,1
S-1115,81.6,2,0,66.6,79.1,0
S-1116,56.2,1,0,82.2,85.0,1
S-1117,76.5,0,2,78.9,78.4,0
S-1118,94.7,0,1,95.1,89.3,0
S-1119,94.4,0,1,85.3,85.5,0
S-1120,77.2,2,1,67.2,65.8,1
S-1121,57.2,1,0,64.9,62.4,0
S-1122,98.6,2,0,57.2,82.2,1
S-1123,79.6,3,1,65.3,58.8,0
S-1124,69.1,2,0,58.3,51.3,0
S-1125,57.9,0,0,56.8,89.3,0
S-1126,100.0,0,2,44.1,55.1,0
S-1127,77.0,1,1,88.3,86.6,0
S-1128,83.8,0,0,60.5,43.2,0
S-1129,65.3,0,4,57.2,53.8,0
S-1130,61.4,1,0,56.1,62.2,0
S-1131,61.2,1,0,69.9,83.3,0
S-1132,83.7,2,0,51.6,52.4,0
S-1133,77.3,0,0,88.4,71.0,0
S-1134,77.7,1,1,79.6,70.7,0
S-1135,89.7,4,2,58.8,67.1,1
S-1136,74.7,1,0,71.4,79.1,0
S-1137,73.5,0,2,39.6,45.6,0
S-1138,100.0,0,1,91.5,87.8,0
S-1139,90.2,0,2,47.5,48.1,0
S-1140,80.7,1,0,62.8,82.3,0
S-1141,85.3,0,0,40.6,49.4,0
S-1142,92.6,1,1,67.3,57.1,0
S-1143,91.0,0,0,81.6,70.8,0
S-1144,73.6,2,0,29.7,46.5,0
S-1145,96.0,0,0,29.9,31.9,0
S-1146,97.0,2,3,69.3,75.7,0
S-1147,81.9,2,0,74.8,71.1,0
S-1148,77.2,0,1,46.7,77.9,0
S-1149,72.5,0,0,50.4,58.8,0
S-1150,98.5,2,1,34.4,44.5,0
S-1151,77.9,2,0,32.6,49.6,0
S-1152,73.1,0,0,39.2,53.8,0
S-1153,100.0,1,0,40.9,36.3,0
S-1154,100.0,3,1,89.7,83.7,0
S-1155,74.0,2,0,38.1,33.6,0
S-1156,57.4,2,1,29.8,43.7,0
S-1157,78.8,0,1,29.2,31.8,0
S-1158,99.8,2,0,51.1,52.3,0
S-1159,46.8,3,0,52.9,46.6,1
S-1160,100.0,1,2,56.5,44.3,0
S-1161,84.5,1,1,52.6,60.9,0
S-1162,54.9,2,1,64.1,76.4,1
S-1163,77.1,0,0,39.4,40.2,0
S-1164,97.9,1,1,35.7,40.0,0
S-1165,71.6,4,0,58.8,46.2,1
S-1166,92.6,0,0,55.6,57.1,0
S-1167,79.6,0,0,44.4,89.2,0
S-1168,96.3,1,1,40.3,38.4,1
S-1169,100.0,0,2,55.7,70.4,0
S-1170,74.2,4,2,29.1,31.8,0
S-1171,100.0,0,1,85.5,69.1,0
S-1172,98.1,3,0,46.6,49.6,0
S-1173,89.9,2,0,68.3,62.7,1
S-1174,56.1,1,0,28.0,56.9,1
S-1175,52.1,0,1,43.0,67.2,0
S-1176,97.6,1,0,46.6,50.5,0
S-1177,100.0,2,3,26.5,41.7,1
S-1178,93.2,0,1,88.0,86.1,0
S-1179,77.3,0,0,33.7,48.4,0
S-1180,39.8,2,0,29.0,37.3,1
S-1181,58.6,2,1,79.3,87.8,1
S-1182,82.5,0,2,93.8,79.2,0
S-1183,64.0,1,2,30.4,44.2,0
S-1184,94.1,1,0,57.9,67.4,0
S-1185,54.2,2,0,26.2,31.4,0
S-1186,97.3,0,0,91.9,65.7,0
S-1187,61.9,2,1,41.2,36.2,0
S-1188,45.5,0,0,70.3,83.7,1
S-1189,56.0,1,1,49.8,78.0,1
S-1190,98.6,2,0,71.2,70.2,0
S-1191,91.9,2,2,96.3,71.4,1
S-1192,59.7,2,3,44.0,54.0,1
S-1193,100.0,2,1,81.8,79.6,0
S-1194,56.6,1,2,32.6,53.8,1
S-1195,85.8,4,1,110.7,79.0,1
S-1196,89.4,1,0,43.1,40.4,0
S-1197,78.6,2,2,59.1,66.4,0
S-1198,78.2,1,0,21.4,34.1,1
S-1199,88.2,1,1,34.6,36.3,0
S-1200,88.8,1,0,52.8,76.8,0
S-1201,81.0,1,0,31.2,37.3,0
S-1202,84.0,0,2,53.2,66.9,0
S-1203,88.0,1,1,58.3,41.7,0
S-1204,100.0,2,0,55.2,58.9,1
S-1205,95.3,0,1,25.1,30.7,0
S-1206,77.7,0,1,81.0,80.7,1
S-1207,54.1,1,1,40.9,53.7,1
S-1208,83.7,2,1,43.5,45.3,0
S-1209,100.0,3,0,53.7,61.1,1
S-1210,79.8,1,0,90.7,73.0,1
S-1211,51.1,1,1,22.7,40.4,1
S-1212,100.0,0,0,40.0,34.9,0
S-1213,97.9,1,0,31.3,37.3,0
S-1214,90.8,1,2,106.5,88.8,0
S-1215,100.0,2,0,94.4,85.7,0
S-1216,57.1,1,1,14.6,37.3,1
S-1217,84.1,0,4,81.6,75.3,1
S-1218,87.8,2,3,43.3,39.9,1
S-1219,94.3,0,1,80.4,74.0,0
S-1220,82.8,0,1,115.4,82.4,0
S-1221,65.6,1,0,67.9,73.6,0
S-1222,73.8,1,1,46.8,67.0,1
S-1223,100.0,1,1,65.6,74.7,0
S-1224,75.6,1,0,79.4,82.6,0
S-1225,61.7,3,0,27.9,71.7,1
S-1226,47.5,1,1,67.9,68.5,1
S-1227,100.0,2,1,111.3,79.5,0
S-1228,100.0,2,0,33.8,38.8,0
S-1229,61.1,0,1,70.0,89.9,0
S-1230,57.5,2,0,93.1,80.4,0
S-1231,100.0,0,0,65.5,50.1,0
S-1232,80.8,0,1,30.7,55.8,0
S-1233,70.6,2,0,32.5,34.8,0
S-1234,20.6,2,1,42.8,75.1,1
S-1235,76.0,0,0,70.8,84.4,0
S-1236,96.3,2,1,27.7,33.8,0
S-1237,80.0,1,1,47.1,69.8,0
S-1238,92.0,0,0,44.7,45.6,0
S-1239,55.8,1,2,32.9,36.8,1
S-1240,63.3,2,0,53.4,81.6,0
S-1241,81.5,1,1,33.3,39.9,0
S-1242,86.7,1,1,37.6,33.7,0
S-1243,74.3,0,1,52.2,45.5,0
S-1244,100.0,1,3,48.3,57.1,0
S-1245,76.8,2,0,51.1,69.4,0
S-1246,100.0,1,1,68.8,77.6,0
S-1247,100.0,2,0,79.5,71.8,0
S-1248,94.7,1,1,37.4,42.1,0
S-1249,84.0,0,0,71.7,66.9,0
S-1250,81.8,2,2,38.3,40.0,0
S-1251,54.2,0,1,52.7,73.2,0
S-1252,81.9,0,2,60.9,72.6,0
S-1253,100.0,1,1,48.9,50.1,0
S-1254,94.8,0,0,41.7,38.5,0
S-1255,100.0,2,1,83.0,88.7,0
S-1256,85.4,1,0,31.1,40.5,0
S-1257,89.7,0,1,51.9,60.8,0
S-1258,98.6,5,2,26.7,36.7,1
S-1259,100.0,1,1,54.0,55.4,1
S-1260,84.6,0,1,81.4,84.6,0
S-1261,95.8,0,1,63.1,72.2,0
S-1262,73.5,0,1,52.6,65.9,0
S-1263,99.0,0,3,68.7,83.5,1
S-1264,75.9,1,3,28.6,33.8,0
S-1265,59.5,0,3,54.3,64.3,1
S-1266,41.8,2,1,38.0,66.4,1
S-1267,100.0,0,1,60.9,53.1,0
S-1268,86.5,2,1,43.5,45.3,0
S-1269,65.8,0,0,72.5,88.3,0
S-1270,49.9,1,0,44.7,61.0,1
S-1271,99.7,1,0,75.8,85.9,0
S-1272,82.3,0,0,46.0,60.4,0
S-1273,100.0,1,0,53.0,53.7,0
S-1274,94.6,2,3,63.9,68.2,1
S-1275,100.0,0,0,67.7,57.4,0
S-1276,73.8,1,0,34.4,51.3,0
S-1277,100.0,1,0,83.9,68.2,0
S-1278,97.1,1,1,64.7,62.0,0
S-1279,77.3,0,1,27.6,32.6,1
S-1280,38.8,3,0,59.2,70.4,1
S-1281,98.0,2,2,42.1,49.1,0
S-1282,100.0,2,0,37.3,55.8,0
S-1283,71.8,0,0,69.8,68.7,0
S-1284,66.8,1,1,41.1,51.9,1
S-1285,77.5,1,1,56.9,60.3,0
S-1286,69.3,0,0,32.6,39.6,1
S-1287,72.8,0,1,103.4,87.4,0
S-1288,82.8,2,1,58.2,53.1,0
S-1289,54.1,1,2,38.5,48.1,1
S-1290,52.8,2,1,33.5,56.6,1
S-1291,27.4,4,0,31.1,53.7,1
S-1292,100.0,0,3,57.5,82.2,1
S-1293,70.8,1,2,52.6,57.8,0
S-1294,100.0,1,0,41.8,42.2,0
S-1295,82.8,1,2,34.3,79.7,0
S-1296,89.1,0,0,78.3,81.2,0
S-1297,89.9,2,1,26.5,73.4,0
S-1298,69.8,1,0,29.8,42.6,0
S-1299,97.1,0,0,80.8,74.3,0
S-1300,65.2,3,2,54.1,59.3,1
S-1301,45.2,0,0,14.6,36.7,0
S-1302,78.6,0,0,60.9,60.0,0
S-1303,74.4,0,0,42.4,47.7,0
S-1304,95.5,3,1,58.3,68.4,0
S-1305,44.9,1,1,55.0,57.0,0
S-1306,65.0,1,3,52.8,61.2,1
S-1307,63.2,1,0,67.4,67.8,1
S-1308,61.6,0,1,48.1,46.6,0
S-1309,60.8,0,0,47.6,46.2,0
S-1310,98.5,3,1,61.3,71.2,0
S-1311,100.0,1,0,53.5,72.8,0
S-1312,79.8,0,0,72.2,76.9,0
S-1313,75.2,2,1,41.0,52.1,1
S-1314,100.0,1,1,77.5,82.8,0
S-1315,97.4,0,0,90.3,69.1,0
S-1316,99.5,1,0,60.4,83.4,0
S-1317,67.1,0,1,64.3,80.1,1
S-1318,47.5,0,0,28.0,54.8,0
S-1319,93.6,1,1,29.7,61.1,0
S-1320,99.1,3,0,64.8,76.2,0
S-1321,70.9,0,0,56.5,76.4,0
S-1322,53.2,0,0,32.5,68.8,0
S-1323,81.5,2,0,32.5,33.9,0
S-1324,75.9,2,4,48.4,87.8,1
S-1325,52.8,0,0,43.1,67.3,0
S-1326,55.8,2,1,42.0,50.7,0
S-1327,72.7,2,0,15.1,30.5,0
S-1328,56.2,2,1,25.9,34.6,1
S-1329,74.4,1,0,45.8,39.9,0
S-1330,87.0,0,1,87.9,87.1,0
S-1331,46.0,1,0,55.4,67.3,0
S-1332,89.0,6,1,37.2,44.8,1
S-1333,58.9,2,0,27.1,30.5,0
S-1334,53.0,1,1,49.4,55.7,1
S-1335,100.0,0,0,51.2,53.9,0
S-1336,65.0,1,3,84.2,77.3,1
S-1337,38.6,1,0,74.2,85.1,1
S-1338,47.5,0,0,30.1,40.5,0
S-1339,47.2,1,1,58.0,51.2,0
S-1340,100.0,1,0,60.2,65.5,0
S-1341,95.7,0,0,30.5,34.1,0
S-1342,25.9,2,2,26.2,39.1,1
S-1343,42.4,1,0,58.9,75.9,1
S-1344,91.8,0,1,21.6,48.3,0
S-1345,91.6,2,0,36.1,49.5,0
S-1346,68.7,2,2,61.2,65.4,0
S-1347,79.7,1,2,24.0,32.5,1
S-1348,46.2,2,1,46.4,52.2,0
S-1349,88.7,3,2,87.9,78.4,1
S-1350,52.0,4,2,20.5,39.8,1
S-1351,63.8,0,1,80.0,72.2,0
S-1352,47.6,4,1,54.5,81.8,1
S-1353,82.9,1,1,57.9,48.6,0
S-1354,85.5,1,1,87.1,80.0,0
S-1355,79.4,0,0,39.4,51.2,0
S-1356,100.0,1,1,46.2,56.0,0
S-1357,69.4,2,1,34.1,41.9,1
S-1358,69.7,0,0,50.4,55.9,0
S-1359,78.7,0,1,40.2,54.2,0
S-1360,65.1,1,0,49.3,42.3,0
S-1361,59.6,3,0,52.0,87.1,1
S-1362,81.9,2,0,65.7,87.9,0
S-1363,100.0,1,0,79.2,65.9,0
S-1364,89.0,0,1,71.7,70.8,0
S-1365,78.9,0,1,45.5,53.9,0
S-1366,89.3,1,0,41.6,56.0,1
S-1367,84.3,1,0,70.4,73.4,1
S-1368,100.0,1,1,53.5,42.0,0
S-1369,62.3,0,0,22.7,33.8,0
S-1370,91.6,1,5,52.8,42.0,1
S-1371,95.4,1,0,98.4,85.2,0
S-1372,43.6,2,1,52.6,67.8,1
S-1373,65.9,1,1,93.3,79.5,1
S-1374,70.3,0,1,50.1,59.5,0
S-1375,83.0,1,0,33.2,39.6,0
S-1376,93.8,2,0,50.4,48.6,0
S-1377,100.0,1,2,105.9,84.8,0
S-1378,55.1,3,0,31.8,63.2,1
S-1379,85.3,4,1,60.8,70.4,1
S-1380,57.3,0,0,28.2,30.1,0
S-1381,80.2,0,0,38.9,31.1,0
S-1382,72.4,1,0,57.9,61.2,0
S-1383,50.4,0,2,35.1,54.9,1
S-1384,100.0,1,1,88.6,82.2,0
S-1385,57.7,1,0,31.1,38.6,0
S-1386,68.5,1,1,18.2,31.1,0
S-1387,77.1,2,0,22.4,30.6,0
S-1388,100.0,3,1,42.1,41.0,0
